pollster,startdate,enddate,samplesize,green,blue,orange
Green,29/12/2020,30/12/2020,1044,0.542,0.208,0.06
TVBS,29/12/2020,29/12/2020,1030,0.45,0.29,0.07
Apple,27/12/2020,29/12/2020,1069,0.486,0.154,0.063
Straits,27/12/2020,28/12/2020,1076,0.549,0.221,0.085
TWJJ,25/12/2020,28/12/2020,2175,0.431,0.158,0.082
Era,26/12/2020,27/12/2020,1073,0.493,0.184,0.076
ETtoday,24/12/2020,27/12/2020,2714,0.482,0.279,0.066
MLD,25/12/2020,26/12/2020,1072,0.482,0.203,0.103
FY,24/12/2020,26/12/2020,1363,0.481,0.234,0.09
Freedom,23/12/2020,25/12/2020,1074,0.5425,0.1559,0.0476
PollFund,23/12/2020,24/12/2020,1075,0.525,0.219,0.095
Green,23/12/2020,24/12/2020,1054,0.534,0.198,0.092
Apple,20/12/2020,22/12/2020,1069,0.468,0.144,0.076
MLD,16/12/2020,17/12/2020,1072,0.465,0.21,0.061
Green,16/12/2020,17/12/2020,1022,0.544,0.204,0.079
Straits,14/12/2020,15/12/2020,1074,0.565,0.181,0.099
Apple,09/12/2020,15/12/2020,1073,0.472,0.178,0.066
TVBS,12/12/2020,14/12/2020,1039,0.5,0.31,0.06
United,12/12/2020,14/12/2020,1110,0.48,0.22,0.09
Era,12/12/2020,13/12/2020,1073,0.484,0.174,0.082
Freedom,09/12/2020,11/12/2020,1078,0.5312,0.1547,0.0466
Green,09/12/2020,10/12/2020,1025,0.489,0.197,0.083
ETtoday,04/12/2020,08/12/2020,2815,0.466,0.245,0.072
Apple,02/12/2020,08/12/2020,1068,0.508,0.152,0.065
NationalPolicy,05/12/2020,07/12/2020,1068,0.503,0.176,0.096
United,05/12/2020,07/12/2020,1157,0.48,0.2,0.09
MLD,05/12/2020,06/12/2020,1073,0.518,0.161,0.075
TVBS,02/12/2020,04/12/2020,1120,0.51,0.29,0.07
BDCom,02/12/2020,04/12/2020,1727,0.5855,0.299,0.0798
Green,02/12/2020,03/12/2020,1021,0.521,0.179,0.095
Apple,29/11/2020,01/12/2020,1074,0.51,0.19,0.066
TVBS,27/11/2020,29/11/2020,1045,0.46,0.31,0.08
ConstitutionFund,27/11/2020,28/11/2020,1079,0.506,0.228,0.096
FY,27/11/2020,28/11/2020,1080,0.445,0.23,0.077
Freedom,25/11/2020,27/11/2020,1070,0.4995,0.1949,0.0562
Green,26/11/2020,26/11/2020,1010,0.482,0.271,0.086
MLD,25/11/2020,26/11/2020,1071,0.512,0.237,0.052
PGD,25/11/2020,26/11/2020,2192,0.409,0.236,0.065
Era,24/11/2020,25/11/2020,1073,0.485,0.256,0.091
ETtoday,21/11/2020,25/11/2020,2308,0.444,0.303,0.095
Straits,23/11/2020,24/11/2020,1069,0.5,0.283,0.078
Apple,22/11/2020,24/11/2020,1069,0.422,0.227,0.067
JGLeague,20/11/2020,21/11/2020,1101,0.414,0.264,0.097
Green,19/11/2020,20/11/2020,1048,0.449,0.254,0.089
BDCom,18/11/2020,20/11/2020,1778,0.5293,0.3448,0.1041
PollFund,18/11/2020,19/11/2020,1078,0.552,0.263,0.076
PGD,18/11/2020,19/11/2020,2157,0.416,0.25,0.069
Apple,15/11/2020,17/11/2020,1084,0.423,0.24,0.06
United,14/11/2020,16/11/2020,1150,0.45,0.29,0.08
TVBS,13/11/2020,15/11/2020,1209,0.45,0.37,0.08
